train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,
ambari-farsec-train.csv,chromiumambari-farsec-test.csv,ib_k,22017,4,107,315,3.6,1.4,7.0,,,,,,,,,,,
camel-farsec-train.csv,chromiumcamel-farsec-test.csv,random_forest,22213,3,108,119,2.7,0.5,5.3,,,,,,,,,,,
wicket-farsec-train.csv,chromiumwicket-farsec-test.csv,random_forest,22332,0,111,0,0.0,0.0,0.0,,,,,,,,,,,
wicket-farsec-train.csv,chromiumwicket-farsec-test.csv,ib_k,22332,0,111,0,0.0,0.0,0.0,,,,,,,,,,,
wicket-farsec-train.csv,chromiumwicket-farsec-test.csv,multilayer_perceptron,22268,0,111,64,0.0,0.3,0.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ambari-farsec-train.csv,derbyambari-farsec-test.csv,logistic_regression,414,21,21,44,50.0,9.6,64.4,,,,,,,,,,,
chromium-farsec-train.csv,derbychromium-farsec-test.csv,naive_bayes,271,28,14,187,66.7,40.8,62.7,,,,,,,,,,,
camel-farsec-train.csv,derbycamel-farsec-test.csv,naive_bayes,300,25,17,158,59.5,34.5,62.4,,,,,,,,,,,
ambari-farsec-train.csv,derbyambari-farsec-test.csv,naive_bayes,230,34,8,228,81.0,49.8,62.0,,,,,,,,,,,
wicket-farsec-train.csv,derbywicket-farsec-test.csv,naive_bayes,289,25,17,169,59.5,36.9,61.3,,,,,,,,,,,
chromium-farsec-train.csv,derbychromium-farsec-test.csv,logistic_regression,368,19,23,90,45.2,19.7,57.9,,,,,,,,,,,
ambari-farsec-train.csv,derbyambari-farsec-test.csv,multilayer_perceptron,435,17,25,23,40.5,5.0,56.8,,,,,,,,,,,
ambari-farsec-train.csv,derbyambari-farsec-test.csv,random_forest,428,15,27,30,35.7,6.6,51.7,,,,,,,,,,,
camel-farsec-train.csv,derbycamel-farsec-test.csv,logistic_regression,325,16,26,133,38.1,29.0,49.6,,,,,,,,,,,
chromium-farsec-train.csv,derbychromium-farsec-test.csv,multilayer_perceptron,419,14,28,39,33.3,8.5,48.9,,,,,,,,,,,
camel-farsec-train.csv,derbycamel-farsec-test.csv,multilayer_perceptron,395,13,29,63,31.0,13.8,45.6,,,,,,,,,,,
wicket-farsec-train.csv,derbywicket-farsec-test.csv,logistic_regression,390,9,33,68,21.4,14.8,34.2,,,,,,,,,,,
ambari-farsec-train.csv,derbyambari-farsec-test.csv,ib_k,449,5,37,9,11.9,2.0,21.2,,,,,,,,,,,
chromium-farsec-train.csv,derbychromium-farsec-test.csv,random_forest,455,3,39,3,7.1,0.7,13.3,,,,,,,,,,,
camel-farsec-train.csv,derbycamel-farsec-test.csv,ib_k,453,2,40,5,4.8,1.1,9.1,,,,,,,,,,,
wicket-farsec-train.csv,derbywicket-farsec-test.csv,multilayer_perceptron,453,1,41,5,2.4,1.1,4.6,,,,,,,,,,,
chromium-farsec-train.csv,derbychromium-farsec-test.csv,ib_k,450,1,41,8,2.4,1.7,4.6,,,,,,,,,,,
camel-farsec-train.csv,derbycamel-farsec-test.csv,random_forest,449,1,41,9,2.4,2.0,4.6,,,,,,,,,,,
wicket-farsec-train.csv,derbywicket-farsec-test.csv,random_forest,458,0,42,0,0.0,0.0,0.0,,,,,,,,,,,
wicket-farsec-train.csv,derbywicket-farsec-test.csv,ib_k,458,0,42,0,0.0,0.0,0.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
camel-farsec-train.csv,wicketcamel-farsec-test.csv,naive_bayes,326,3,3,168,50.0,34.0,56.9,,,,,,,,,,,
ambari-farsec-train.csv,wicketambari-farsec-test.csv,naive_bayes,304,3,3,190,50.0,38.5,55.2,,,,,,,,,,,
ambari-farsec-train.csv,wicketambari-farsec-test.csv,logistic_regression,394,2,4,100,33.3,20.2,47.0,,,,,,,,,,,
chromium-farsec-train.csv,wicketchromium-farsec-test.csv,naive_bayes,351,2,4,143,33.3,28.9,45.4,,,,,,,,,,,
derby-farsec-train.csv,wicketderby-farsec-test.csv,logistic_regression,479,1,5,15,16.7,3.0,28.4,,,,,,,,,,,
ambari-farsec-train.csv,wicketambari-farsec-test.csv,random_forest,471,1,5,23,16.7,4.7,28.4,,,,,,,,,,,
camel-farsec-train.csv,wicketcamel-farsec-test.csv,multilayer_perceptron,458,1,5,36,16.7,7.3,28.3,,,,,,,,,,,
derby-farsec-train.csv,wicketderby-farsec-test.csv,multilayer_perceptron,433,1,5,61,16.7,12.3,28.0,,,,,,,,,,,
chromium-farsec-train.csv,wicketchromium-farsec-test.csv,logistic_regression,432,1,5,62,16.7,12.6,28.0,,,,,,,,,,,
