train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,Target,Source,Top results,,,,,,,,,,pd-tpp,pd-tppx,pf-tpp,pf-tppx,g-measure-tpp,g-measure-tppx
chromiumwicket-cross-train.csv,chromiumwicket-cross-test.csv,ib_k,22332,0,111,0,0.0,0.0,0.0,,,,,,,,,,,,,,59.5,50.0,35.8,9.6,61.8,64.4
chromiumwicket-cross-train.csv,chromiumwicket-cross-test.csv,multilayer_perceptron,22276,0,111,56,0.0,0.3,0.0,,,,,,,,,,,,,,35.7,66.7,14.2,40.8,50.4,62.7
,,,,,,,,,,,,,,,,,,,,,,,33.3,59.5,17.7,34.5,47.5,62.4
derbyambari-cross-train.csv,derbyambari-cross-test.csv,naive_bayes,294,25,17,164,59.5,35.8,61.8,,,,,,,,,,,,,,28.6,81.0,14.2,49.8,42.9,62.0
derbyambari-cross-train.csv,derbyambari-cross-test.csv,logistic_regression,393,15,27,65,35.7,14.2,50.4,,,,,,,,,,,,,,26.2,59.5,14.0,36.9,40.2,61.3
derbychromium-cross-train.csv,derbychromium-cross-test.csv,naive_bayes,377,14,28,81,33.3,17.7,47.5,,,,,,,,,,,,,,23.8,45.2,22.7,19.7,36.4,57.9
derbyambari-cross-train.csv,derbyambari-cross-test.csv,multilayer_perceptron,393,12,30,65,28.6,14.2,42.9,,,,,,,,,,,,,,21.4,40.5,12.9,5.0,34.4,56.8
derbycamel-cross-train.csv,derbycamel-cross-test.csv,logistic_regression,394,11,31,64,26.2,14.0,40.2,,,,,,,,,,,,,,14.3,35.7,6.3,6.6,24.8,51.7
derbywicket-cross-train.csv,derbywicket-cross-test.csv,naive_bayes,354,10,32,104,23.8,22.7,36.4,,,,,,,,,,,,,,11.9,38.1,13.1,29.0,20.9,49.6
derbycamel-cross-train.csv,derbycamel-cross-test.csv,naive_bayes,399,9,33,59,21.4,12.9,34.4,,,,,,,,,,,,,,4.8,33.3,2.4,8.5,9.1,48.9
derbywicket-cross-train.csv,derbywicket-cross-test.csv,multilayer_perceptron,429,6,36,29,14.3,6.3,24.8,,,,,,,,,,,,,,2.4,31.0,0.7,13.8,4.7,45.6
derbywicket-cross-train.csv,derbywicket-cross-test.csv,logistic_regression,398,5,37,60,11.9,13.1,20.9,,,,,,,,,,,,,,2.4,21.4,1.1,14.8,4.6,34.2
derbycamel-cross-train.csv,derbycamel-cross-test.csv,multilayer_perceptron,447,2,40,11,4.8,2.4,9.1,,,,,,,,,,,,,,100.0,11.9,98.0,2.0,3.9,21.2
derbychromium-cross-train.csv,derbychromium-cross-test.csv,ib_k,455,1,41,3,2.4,0.7,4.7,,,,,,,,,,,,,,0.0,7.1,0.0,0.7,0.0,13.3
derbyambari-cross-train.csv,derbyambari-cross-test.csv,ib_k,453,1,41,5,2.4,1.1,4.6,,,,,,,,,,,,,,0.0,4.8,0.0,1.1,0.0,9.1
derbychromium-cross-train.csv,derbychromium-cross-test.csv,logistic_regression,9,42,0,449,100.0,98.0,3.9,,,,,,,,,,,,,,0.0,2.4,0.9,1.1,0.0,4.6
derbyambari-cross-train.csv,derbyambari-cross-test.csv,random_forest,458,0,42,0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,2.4,0.0,1.7,0.0,4.6
derbycamel-cross-train.csv,derbycamel-cross-test.csv,random_forest,458,0,42,0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,2.4,0.2,2.0,0.0,4.6
derbycamel-cross-train.csv,derbycamel-cross-test.csv,ib_k,454,0,42,4,0.0,0.9,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
derbychromium-cross-train.csv,derbychromium-cross-test.csv,random_forest,458,0,42,0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
derbychromium-cross-train.csv,derbychromium-cross-test.csv,multilayer_perceptron,457,0,42,1,0.0,0.2,0.0,,,,,,,,,,,,,,50.0,50.0,19.8,34.0,61.6,56.9
derbywicket-cross-train.csv,derbywicket-cross-test.csv,random_forest,458,0,42,0,0.0,0.0,0.0,,,,,,,,,,,,,,16.7,50.0,1.8,38.5,28.5,55.2
derbywicket-cross-train.csv,derbywicket-cross-test.csv,ib_k,458,0,42,0,0.0,0.0,0.0,,,,,,,,,,,,,,16.7,33.3,7.1,20.2,28.3,47.0
,,,,,,,,,,,,,,,,,,,,,,,16.7,33.3,7.5,28.9,28.2,45.4
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,,,,16.7,16.7,10.3,3.0,28.1,28.4
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,,,,16.7,16.7,16.2,4.7,27.8,28.4
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,,,,100.0,16.7,99.4,7.3,1.2,28.3
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,,,,0.0,16.7,0.0,12.3,0.0,28.0
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,,,,0.0,16.7,0.8,12.6,0.0,28.0
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,,,,0.0,16.7,5.7,19.4,0.0,27.6
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,,,,0.0,0.0,6.5,2.6,0.0,0.0
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,,,,0.0,0.0,0.0,7.7,0.0,0.0
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,,,,0.0,0.0,0.4,0.6,0.0,0.0
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,,,,0.0,0.0,0.6,1.2,0.0,0.0
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,,,,0.0,0.0,0.0,0.6,0.0,0.0
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,,,,0.0,0.0,0.0,1.4,0.0,0.0
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,,,,0.0,0.0,0.4,2.8,0.0,0.0
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,,,,0.0,0.0,4.9,11.3,0.0,0.0
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,,,,0.0,0.0,0.6,2.2,0.0,0.0
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,,,,0.0,0.0,1.8,1.6,0.0,0.0
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,,,median,0.9,16.7,1.8,5.7,1.0,28.0
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,,,25,0.0,0.0,0.3,1.7,0.0,0.0
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,,,75,16.7,38.9,6.9,13.8,24.9,51.9
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,,,50,0.9,16.7,1.8,5.7,1.0,28.0
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,,,,,,,,,
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,,,,,,,,,
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,,,,,,,,,
train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wicketambari-cross-train.csv,wicketambari-cross-test.csv,naive_bayes,396,3,3,98,50.0,19.8,61.6,,,,,,,,,,,,,,,,,,,
wicketderby-cross-train.csv,wicketderby-cross-test.csv,ib_k,485,1,5,9,16.7,1.8,28.5,,,,,,,,,,,,,,,,,,,
